Location1,Definition1,Identifier1,Location2,Definition2,Identifier2,Location3,Definition3,Identifier3,Location4,Definition4,Identifier4,Location5,Definition5,Identifier5,Location6,Definition6,Identifier6,Location7,Definition7,Identifier7,Location8,Definition8,Identifier8,Location9,Definition9,Identifier9,Location10,Definition10,Identifier10,Location11,Definition11,Identifier11,Location12,Definition12,Identifier12,Location13,Definition13,Identifier13,Location14,Definition14,Identifier14,Location15,Definition15,Identifier15,Location16,Definition16,Identifier16,Location17,Definition17,Identifier17,Location18,Definition18,Identifier18,Location19,Definition19,Identifier19,Location20,Definition20,Identifier20
sale,an occasion (usually brief) for buying at specially reduced prices,sale.n.03,assumption,the act of assuming or taking for granted,goldNo,Algeria,a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s,goldYes,providence,the guardianship and control exercised by a deity,providence.n.02,levy,the act of drafting into military service,levy.n.02,exchange,the act of changing one thing for another thing,exchange.n.03,exchange,(sports) an unbroken sequence of several successive strokes,rally.n.05,defiance,a defiant act,defiance.n.03,fatwa,a ruling on a point of Islamic law that is given by a recognized authority,fatwa.n.01,line,acting in conformity,line.n.16,comfort,assistance such as that provided to an enemy or to a known criminal,comfort.n.07,comfort,the act of consoling; giving relief in affliction,consolation.n.02,hit,a murder carried out by an underworld syndicate,hit.n.06,solo,any activity that is performed alone without assistance,solo.n.01,parole,(law) a conditional release from imprisonment that entitles the person to serve the remainder of the sentence outside the prison as long as the terms of release are complied with,parole.n.03,quarter,clemency or mercy shown to a defeated opponent,quarter.n.14,hell,violent and excited activity,sin.n.06,Actium,the naval battle in which Antony and Cleopatra were defeated by Octavian's fleet under Agrippa in 31 BC,actium.n.02,Agincourt,a battle in northern France in which English longbowmen under Henry V decisively defeated a much larger French army in 1415,agincourt.n.01,Alamo,a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico,alamo.n.01
Atlanta,a siege in which Federal troops under Sherman cut off the railroads supplying the city and then burned it; 1864,atlanta.n.02,Bannockburn,a battle in which the Scots under Robert the Bruce defeated the English and assured the independence of Scotland,bannockburn.n.01,Bataan,the peninsula and island in the Philippines where Japanese forces besieged American forces in World War II; United States forces surrendered in 1942 and recaptured the area in 1945,bataan.n.01,Chateau-Thierry,a World War I battle in northwestern France where the Allies defeated the Germans in 1918,battle_of_the_marne.n.01,Bismarck Sea,a naval battle in World War II; Allied land-based bombers destroyed a Japanese convoy in the Bismarck Sea in March 1943,bismarck_sea.n.02,conversion,a spiritual enlightenment causing a person to lead a new life,goldNo,Algiers,an ancient port on the Mediterranean; the capital and largest city of Algeria,goldYes,Blenheim,the First Duke of Marlborough and Prince Eugene of Savoy defeated the French in 1704 during the War of the Spanish Succession,blenheim.n.01,Bouvines,in 1214 the French under Philip Augustus defeated a coalition formed against him in one of the greatest battles of the middle ages,bouvines.n.01,Buena Vista,a pitched battle in the Mexican War in 1847; United States forces under Zachary Taylor defeated the Mexican forces under Santa Anna at a locality in northern Mexico,buena_vista.n.01,Bull Run,either of two battles during the American Civil War (1861 and 1862); Confederate forces defeated the Federal army in both battles,bull_run.n.02,Bunker Hill,the first important battle of the American War of Independence (1775) which was fought at Breed's Hill; the British defeated the colonial forces,bunker_hill.n.01,Cannae,ancient city is southeastern Italy where Hannibal defeated the Romans in 216 BC,cannae.n.01,Chaeronea,a battle in which Philip II of Macedon defeated the Athenians and Thebans (338 BC) and also Sulla defeated Mithridates (86 BC),chaeronea.n.01,Chapultepec,a pitched battle in the Mexican War that resulted in a major victory for American forces over Mexican forces at a locality south of Mexico City (1847),chapultepec.n.01,Chattanooga,in the American Civil War (1863) the Union armies of Hooker Thomas and Sherman under the command of Ulysses S. Grant won a decisive victory over the Confederate Army under Braxton Bragg,chattanooga.n.02,Cowpens,battle in the American Revolution; Americans under Daniel Morgan defeated the British,cowpens.n.01,Dien Bien Phu,the French military base fell after a siege by Vietnam troops that lasted 56 days; ended the involvement of France in Indochina in 1954,dien_bien_phu.n.01,Drogheda,in 1649 the place was captured by Oliver Cromwell who massacred the Catholic inhabitants,drogheda.n.01,Dunkirk,an amphibious evacuation in World War II (1940) when 330000 Allied troops had to be evacuated from the beaches in northern France in a desperate retreat under enemy fire,dunkirk.n.03
El Alamein,a pitched battle in World War II (1942) resulting in a decisive Allied victory by British troops under Montgomery over German troops under Rommel,el_alamein.n.02,Fort Ticonderoga,a pitched battle in which American revolutionary troops captured Fort Ticonderoga from the British in 1775,fort_ticonderoga.n.01,Ticonderoga,a pitched battle in which American revolutionary troops captured Fort Ticonderoga from the British in 1775,fort_ticonderoga.n.01,Fredericksburg,an important battle in the American Civil War (1862); the Union Army under A. E. Burnside was defeated by the Confederate Army under Robert E. Lee,fredericksburg.n.02,Gettysburg,a battle of the American Civil War (1863); the defeat of Robert E. Lee's invading Confederate Army was a major victory for the Union,gettysburg.n.02,Granicus,the battle in which Alexander won his first major victory against the Persians (334 BC),granicus.n.01,Guadalcanal,a battle in World War II in the Pacific (1942-1943); the island was occupied by the Japanese and later recaptured by American forces,guadalcanal.n.02,Hampton Roads,a naval battle of the American Civil War (1862); the indecisive battle between the Monitor and the Merrimac,hampton_roads.n.02,Hastings,the decisive battle in which William the Conqueror (duke of Normandy) defeated the Saxons under Harold II (1066) and thus left England open for the Norman Conquest,hastings.n.03,Hohenlinden,a battle during the Napoleonic Wars (1800); the French defeated the Austrians,hohenlinden.n.02,Issus,a battle (333 BC) in which Alexander the Great defeated the Persians under Darius III,issus.n.01,Iwo,a bloody and prolonged operation on the island of Iwo Jima in which American marines landed and defeated Japanese defenders (February and March 1945),iwo.n.01,Iwo Jima,a bloody and prolonged operation on the island of Iwo Jima in which American marines landed and defeated Japanese defenders (February and March 1945),iwo.n.01,Jena,the battle in 1806 in which Napoleon decisively defeated the Prussians,jena.n.01,Jutland,an indecisive naval battle in World War I (1916); fought between the British and German fleets off the northwestern coast of Denmark,jutland.n.02,magic,an illusory feat; considered magical by naive observers,goldNo,Batna,a town in north central Algeria,goldYes,Kennesaw Mountain,battle of the American Civil War (1864); Union forces under William Tecumseh Sherman were repulsed by Confederate troops under Joseph Eggleston Johnston,kennesaw_mountain.n.01,Kwajalein,an amphibious assault in the Pacific in World War II (January 1944); American forces landed and captured a Japanese air base,kwajalein.n.02,Langside,(1568) Catholic forces supporting Mary Queen of Scots were routed by Protestants,langside.n.01
Lepanto,Turkish sea power was destroyed in 1571 by a league of Christian nations organized by the Pope,lepanto.n.01,Leuctra,Thebes defeated Sparta in 371 BC; the battle ended Sparta's military supremacy in Greece,leuctra.n.01,Lexington,the first battle of the American Revolution (April 19 1775),lexington.n.03,Concord,the first battle of the American Revolution (April 19 1775),lexington.n.03,Leyte,a battle in World War II; the return of United States troops to the Philippines began with landings on Leyte Island in October 1944; the battle marked first use of kamikaze aircraft by the Japanese,leyte.n.01,Leyte Island,a battle in World War II; the return of United States troops to the Philippines began with landings on Leyte Island in October 1944; the battle marked first use of kamikaze aircraft by the Japanese,leyte.n.01,Lucknow,the British residents of Lucknow were besieged by Indian insurgents during the Indian Mutiny (1857),lucknow.n.02,Lutzen,a battle in the Thirty Years' War (1632); Swedes under Gustavus Adolphus defeated the Holy Roman Empire under Wallenstein; Gustavus Adolphus was killed,lutzen.n.01,Magenta,a battle in 1859 in which the French and Sardinian forces under Napoleon III defeated the Austrians under Francis Joseph I,magenta.n.02,Mantineia,the site of three famous battles among Greek city-states: in 418 BC and 362 BC and 207 BC,mantinea.n.01,Marathon,a battle in 490 BC in which the Athenians and their allies defeated the Persians,marathon.n.03,Marengo,a battle in 1800 in which the French under Napoleon Bonaparte won a great victory over the Austrians,marengo.n.01,Meuse,an American operation in World War I (1918); American troops under Pershing drove back the German armies which were saved only by the armistice on November 11,meuse.n.02,Meuse River,an American operation in World War I (1918); American troops under Pershing drove back the German armies which were saved only by the armistice on November 11,meuse.n.02,Argonne,an American operation in World War I (1918); American troops under Pershing drove back the German armies which were saved only by the armistice on November 11,meuse.n.02,Minden,a battle in the Seven Years' War (1759) in which the English forces and their allies defeated the French,minden.n.01,Naseby,a battle in 1645 that settled the outcome of the first English Civil War as the Parliamentarians won a major victory over the Royalists,naseby.n.02,Navarino,a decisive naval battle in the War of Greek Independence (1827); the Turkish and Egyptian fleet was defeated by an allied fleet of British and French and Russian warships,navarino.n.01,bender,a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter,goldNo,Blida,a city in northern Algeria at the foot of the Atlas Mountains to the southwest of Algiers,goldYes
Okinawa,a campaign in the closing days of World War II in the Pacific (April to June 1945); in savage close-quarter fighting United States marines and regular army troops took the island from the Japanese; considered the greatest victory of the Pacific campaign for the Americans,okinawa.n.02,Omdurman,a battle (1898) in which an English and Egyptian army under Kitchener defeated the Sudanese,omdurman.n.02,Orleans,a long siege of Orleans by the English was relieved by Joan of Arc in 1429,orleans.n.02,Panipat,battle in which the ruler of Afghanistan defeated the Mahrattas in 1761,panipat.n.01,Petersburg,the final campaign of the American Civil War (1864-65); Union forces under Grant besieged and finally defeated Confederate forces under Lee,petersburg.n.02,Philippi,Octavian and Mark Antony defeated Brutus and Cassius in 42 BC,philippi.n.02,Plataea,a defeat of the Persian army by the Greeks at Plataea in 479 BC,plataea.n.02,Plevna,the town was taken from the Turks by the Russians in 1877 after a siege of 143 days,plevna.n.01,Pleven,the town was taken from the Turks by the Russians in 1877 after a siege of 143 days,plevna.n.01,Poitiers,the battle in 1356 in which the English under the Black Prince defeated the French,poitiers.n.01,Port Arthur,a battle in the Chino-Japanese War (1894); Japanese captured the port and fortifications from the Chinese,port_arthur.n.02,Pydna,a major victory by the Romans over the Macedonians in 168 BC; resulted in the downfall of the ancient Macedonian kingdom,pydna.n.01,Ravenna,a battle between the French and an alliance of Spaniards and Swiss and Venetians in 1512,ravenna.n.01,Rocroi,a battle in the Thirty Years' War (1643); the French defeated the Spanish invaders,rocroi.n.01,Rossbach,a battle in the Seven Years' War (1757); Prussian forces under Frederick the Great defeated the armies of France and Austria,rossbach.n.01,Saipan,US forces captured the island from the Japanese in July 1944; it was an important air base until the end of World War II,saipan.n.02,raise,the act of raising something,goldNo,Oran,a port city in northwestern Algeria and the country's 2nd largest city,goldYes,Salerno,a battle in World War II; the port was captured by United States troops in September 1943,salerno.n.01,Santiago,a naval battle in the Spanish-American War (1898); the United States fleet bottled up the Spanish ships in the harbor of Santiago de Cuba and destroyed them when they tried to escape,santiago.n.04
Santiago de Cuba,a naval battle in the Spanish-American War (1898); the United States fleet bottled up the Spanish ships in the harbor of Santiago de Cuba and destroyed them when they tried to escape,santiago.n.04,Saratoga,a battle during the American Revolution (1777); the British under Burgoyne were defeated,saratoga.n.02,Shiloh,the second great battle of the American Civil War (1862); the battle ended with the withdrawal of Confederate troops but it was not a Union victory,shiloh.n.01,Soissons,a battle in World War I (May 1918); the Germans tried to attack before the American numbers were too great to defeat; the tactical success of the Germans proved to be a strategic failure,soissons.n.01,Solferino,an indecisive battle in 1859 between the French and Sardinians under Napoleon III and the Austrians under Francis Joseph I,solferino.n.02,Somme,battle in World War I (1916),somme.n.02,Somme,battle of World War II (1944),somme.n.01,Spotsylvania,a battle between the armies of Grant and Lee during the Wilderness Campaign,spotsylvania.n.02,Syracuse,the Athenian siege of Syracuse (415-413 BC) was eventually won by Syracuse,syracuse.n.04,Syracuse,the Roman siege of Syracuse (214-212 BC) was eventually won by the Romans who sacked the city (killing Archimedes),syracuse.n.03,Tannenberg,a battle in World War I (1914); decisive German victory over the Russians,tannenberg.n.01,spring,a light self-propelled movement upwards or forwards,goldNo,Djanet,a desert town in southeastern Algeria,goldYes,Thermopylae,a famous battle in 480 BC; a Greek army under Leonidas was annihilated by the Persians who were trying to conquer Greece,thermopylae.n.01,Tsushima,a naval battle in the Russo-Japanese War (1905); the Japanese fleet defeated the Russian fleet in the Korean Strait,tsushima.n.01,Valmy,the French defeated the Austrian and Prussian troops in 1792 (with a famous cannonade from the French artillery),valmy.n.01,Verdun,a battle in World War I (1916); in some of the bloodiest fighting in World War I the German offensive was stopped,verdun.n.01,Vicksburg,a decisive battle in the American Civil War (1863); after being besieged for nearly seven weeks the Confederates surrendered,vicksburg.n.02,Wagram,a battle in the Napoleonic campaigns (1809); Napoleon defeated the Austrians,wagram.n.02,Waterloo,the battle on 18 June 1815 in which Prussian and British forces under Blucher and the Duke of Wellington routed the French forces under Napoleon,waterloo.n.03
Yalu River,a battle in the Korean War (November 1950); when UN troops advanced north to the Yalu River 200000 Chinese troops crossed the river and drove them back,yalu_river.n.02,Yorktown,in 1781 the British under Cornwallis surrendered after a siege of three weeks by American and French troops; the surrender ended the American Revolution,yorktown.n.02,Ypres,battle in World War I (1914); heavy but indecisive fighting as the Allies and the Germans both tried to break through the lines of the others,ypres.n.03,Ypres,battle in World War I (1915); Germans wanted to try chlorine (a toxic yellow gas) as a weapon and succeeded in taking considerable territory from the Allied salient,ypres.n.02,Ypres,battle in World War I (1917); an Allied offensive which eventually failed because tanks bogged down in the waterlogged soil of Flanders; Germans introduced mustard gas which interfered with the Allied artillery,ypres.n.01,Zama,the battle in 202 BC in which Scipio decisively defeated Hannibal at the end of the second Punic War,zama.n.01,Vietnam,a prolonged war (1954-1975) between the communist armies of North Vietnam who were supported by the Chinese and the armies of South Vietnam who were supported by the United States,vietnam_war.n.01,pest,any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.,pest.n.04,sumpter,an animal (such as a mule or burro or horse) used to carry loads,pack_animal.n.01,wheeling,propelling something on wheels,goldNo,Reggane,a town in central Algeria,goldYes,pollard,a usually horned animal that has either shed its horns or had them removed,pollard.n.02,male,an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova),male.n.01,young,any immature animal,young.n.01,sire,male parent of an animal especially a domestic animal such as a horse,sire.n.03,horn,one of the bony outgrowths on the heads of certain ungulates,horn.n.02,horn,any hard protuberance from the head of an organism that is similar to or suggestive of a horn,horn.n.06,rod,any rod-shaped bacterium,rod.n.02,Ulva,type genus of the family Ulvaceae; green seaweed having a thallus two cells thick: sea lettuce,ulva.n.01,Chara,green algae common in freshwater lakes of limestone districts,chara.n.01
Tinca,tench,tinca.n.01,platy,small stocky Mexican fish; popular aquarium fish,platy.n.01,mollie,popular aquarium fish,mollie.n.01,monster,(medicine) a grossly malformed and usually nonviable fetus,monster.n.05,egg,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds,egg.n.01,mako,powerful mackerel shark of the Atlantic and Pacific,mako.n.01,ray,cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins,ray.n.07,manta,extremely large pelagic tropical ray that feeds on plankton and small fishes; usually harmless but its size make it dangerous if harpooned,manta.n.02,Raja,type genus of the family Rajidae,raja.n.02,Aves,(ornithology) the class of birds,aves.n.01,cock,adult male bird,cock.n.05,nandu,smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan,rhea.n.02,moa,extinct flightless bird of New Zealand,moa.n.01,goldfinch,small European finch having a crimson face and yellow-and-black wings,goldfinch.n.02,Spinus,in some classifications considered a subgenus of Carduelis: siskins and New World goldfinches,spinus.n.01,rolling,propelling something on wheels,goldNo,Timgad,an ancient town founded by the Romans; noted for extensive and well-preserved ruins,goldYes,goldfinch,American finch whose male has yellow body plumage in summer,new_world_goldfinch.n.01,cardinal,crested thick-billed North American finch having bright red plumage in the male,cardinal.n.04,whistler,Australian and southeastern Asian birds with a melodious whistling call,thickhead.n.01
Silvia,type genus of the Sylviidae: warblers,silvia.n.01,Blackburn,black-and-white North American wood warbler having an orange-and-black head and throat,blackburn.n.01,mina,tropical Asian starlings,myna.n.01,daw,common black-and-grey Eurasian bird noted for thievery,jackdaw.n.01,jay,crested largely blue bird,jay.n.02,catbird,North American songbird whose call resembles a cat's mewing,catbird.n.02,Irena,type genus of the Irenidae: fairy bluebirds,irena.n.01,martin,any of various swallows with squarish or slightly forked tail and long pointed wings; migrate around Martinmas,martin.n.05,hit,the act of contacting one thing with another,goldNo,Timimoun,a town in central Algeria in the Atlas Mountains,goldYes,catbird,any of various birds of the Australian region whose males build ornamented structures resembling bowers in order to attract females,bowerbird.n.01,marsh hawk,common harrier of North America and Europe; nests in marshes and open land,marsh_hawk.n.01,falcon,diurnal birds of prey having long pointed powerful wings adapted for swift flight,falcon.n.01,eagle,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,eagle.n.01,fish hawk,large harmless hawk found worldwide that feeds on fish and builds a bulky nest often occupied for years,osprey.n.01,hoot owl,any owl that hoots as distinct from screeching,hoot_owl.n.01,olm,European aquatic salamander with permanent external gills that lives in caves,olm.n.01,Caretta,loggerhead turtles,caretta.n.01,Uta,a reptile genus of Iguanidae,uta.n.01,Arizona,glossy snake,arizona.n.02
Sonora,ground snakes,sonora.n.01,anaconda,large arboreal boa of tropical South America,anaconda.n.01,cere,the fleshy waxy covering at the base of the upper beak of some birds,cere.n.01,Dorking,an English breed of large domestic fowl having five toes (the hind toe doubled),dorking.n.01,Plymouth Rock,an American breed of domestic fowl,plymouth_rock.n.02,Cornish,English breed of compact domestic fowl; raised primarily to crossbreed to produce roasters,cornish.n.02,bantam,any of various small breeds of fowl,bantam.n.01,cock,adult male chicken,cock.n.04,best,the supreme effort one can make,goldNo,Angola,a republic in southwestern Africa on the Atlantic Ocean; achieved independence from Portugal in 1975 and was the scene of civil war until 1990,goldYes,Dominick,American breed of chicken having barred grey plumage raised for meat and brown eggs,dominique.n.01,Orpington,English breed of large chickens with white skin,orpington.n.01,turkey,large gallinaceous bird with fan-shaped tail; widely domesticated for food,turkey.n.01,guinea,a west African bird having dark plumage mottled with white; native to Africa but raised for food in many parts of the world,guinea_fowl.n.01,pigeon,wild and domesticated birds having a heavy body and short legs,pigeon.n.01,homer,pigeon trained to return home,homing_pigeon.n.01,Ara,macaws,ara.n.02,ani,black tropical American cuckoo,ani.n.01,halcyon,a mythical bird said to breed at the time of the winter solstice in a nest floating on the sea and to have the power of calming the winds and waves,halcyon.n.03,Halcyon,a large kingfisher widely distributed in warmer parts of the Old World,halcyon.n.02
whippoorwill,American nocturnal goatsucker with grey-and-white plumage,whippoorwill.n.01,drake,adult male of a wild or domestic duck,drake.n.02,bluewing,American teal,bluewing.n.01,widgeon,freshwater duck of Eurasia and northern Africa related to mallards and teals,widgeon.n.01,sheldrake,Old World gooselike duck slightly larger than a mallard with variegated mostly black-and-white plumage and a red bill,sheldrake.n.02,whistler,large-headed swift-flying diving duck of Arctic regions,goldeneye.n.02,sheldrake,large crested fish-eating diving duck having a slender hooked bill with serrated edges,merganser.n.01,gander,mature male goose,gander.n.01,greylag,common grey wild goose of Europe; ancestor of many domestic breeds,greylag.n.01,blue goose,North American wild goose having dark plumage in summer but white in winter,blue_goose.n.01,brant,small dark geese that breed in the north and migrate southward,brant.n.01,brent,small dark geese that breed in the north and migrate southward,brant.n.01,pen,female swan,pen.n.05,cygnet,a young swan,cygnet.n.01,down,soft fine feathers,down.n.01,ray,any of the stiff bony spines in the fin of a fish,ray.n.06,flora,(botany) a living organism lacking the power of locomotion,goldNo,Namibia,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,lorica,a hard protective sheath (as secreted by certain protoctists for example),lorica.n.01,Aegina,small medusa,aegina.n.02
praya,colonial siphonophore of up to 130 ft long,praya.n.01,bivalve,marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together,bivalve.n.01,cherrystone,a half-grown quahog,cherrystone.n.02,blue point,small edible oyster typically from the southern shore of Long Island,bluepoint.n.02,capiz,marine bivalve common in Philippine coastal waters characterized by a large thin flat translucent shell,window_oyster.n.01,Maia,type genus of the Majidae; nearly cosmopolitan in distribution,maja.n.01,slater,any of various small terrestrial isopods having a flat elliptical segmented body; found in damp habitats,woodlouse.n.01,britt,minute crustaceans forming food for right whales,brit.n.03,jabiru,large white stork of warm regions of the world especially America,jabiru.n.03,jabiru,large black-and-white stork of tropical Africa; its red bill has a black band around the middle,saddlebill.n.01,jabiru,large mostly white Australian stork,policeman_bird.n.01,heron,grey or white wading bird with long neck and long legs and (usually) long bill,heron.n.02,Ardea,type genus of the Ardeidae: large New and Old World herons,ardea.n.01,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),goldNo,South West Africa,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,Aramus,genus of large brown long-billed wading birds found in warm swampy regions of the western hemisphere: courlan; limpkin,aramus.n.01,Otis,type genus of the Otididae: European bustard,otis.n.02,plover,any of numerous chiefly shorebirds of relatively compact build having straight bills and large pointed wings; closely related to the sandpipers,plover.n.01,kildeer,American plover of inland waters and fields having a distinctive cry,killdeer.n.01,Rissa,a genus of Laridae,rissa.n.01
Sterna,a genus of Sterninae,sterna.n.01,loon,large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back; related to the grebes,loon.n.02,Sula,type genus of the Sulidae,sula.n.01,solan,very large white gannet with black wing tips,solan.n.01,barker,informal terms for dogs,pooch.n.01,Chihuahua,an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization,chihuahua.n.03,Airedale,breed of large wiry-coated terrier bred in Yorkshire,airedale.n.01,Lhasa,a breed of terrier having a long heavy coat raised in Tibet as watchdogs,lhasa.n.02,clumber,a thickset spaniel with longish silky hair,clumber.n.01,Shetland,a small sheepdog resembling a collie that was developed in the Shetland Islands,shetland_sheepdog.n.01,collie,a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland,collie.n.01,Saint Bernard,a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog,saint_bernard.n.01,Leonberg,a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland,leonberg.n.01,Newfoundland,a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland,newfoundland.n.01,Pembroke,the smaller and straight-legged variety of corgi having pointed ears and a short tail,pembroke.n.01,Cardigan,slightly bowlegged variety of corgi having rounded ears and a long tail,cardigan.n.02,white fox,thickly-furred fox of Arctic regions; brownish in summer and white in winter,arctic_fox.n.01,puma,large American feline resembling a lion,cougar.n.01,anchorage,the act of anchoring,goldNo,Windhoek,capital of Namibia in the center of the country,goldYes
